"< Measurement Data Text Output >"
""
"Date/Time","@date()","ch.1","ch.2","ch.3","ch.4","ch.5","ch.6","ch.7","ch.8"
"","","ßC","","","","","","",""
"2021/05/06 19:50'00","44322.8263888889","  18.0000","","","","","","","",
"2021/05/06 19:51'00","44322.8270833333","  17.9000","","","","","","","",
"2021/05/06 19:52'00","44322.8277777778","  17.9000","","","","","","","",
"2021/05/06 19:53'00","44322.8284722222","  17.7000","","","","","","","",
"2021/05/06 19:54'00","44322.8291666667","  17.6000","","","","","","","",
"2021/05/06 19:55'00","44322.8298611111","  17.4000","","","","","","","",
"2021/05/06 19:56'00","44322.8305555556","  17.3000","","","","","","","",
"2021/05/06 19:57'00","44322.8312500000","  17.0000","","","","","","","",
"2021/05/06 19:58'00","44322.8319444444","  16.8000","","","","","","","",
"2021/05/06 19:59'00","44322.8326388889","  16.5000","","","","","","","",
"2021/05/06 20:00'00","44322.8333333333","  16.2000","","","","","","","",
"2021/05/06 20:01'00","44322.8340277778","  15.9000","","","","","","","",
"2021/05/06 20:02'00","44322.8347222222","  15.5000","","","","","","","",
"2021/05/06 20:03'00","44322.8354166667","  15.3000","","","","","","","",
"2021/05/06 20:04'00","44322.8361111111","  15.0000","","","","","","","",
"2021/05/06 20:05'00","44322.8368055556","  14.6000","","","","","","","",
"2021/05/06 20:06'00","44322.8375000000","  14.4000","","","","","","","",
"2021/05/06 20:07'00","44322.8381944444","  14.4000","","","","","","","",
"2021/05/06 20:08'00","44322.8388888889","  14.5000","","","","","","","",
"2021/05/06 20:09'00","44322.8395833333","  14.7000","","","","","","","",
"2021/05/06 20:10'00","44322.8402777778","  14.9000","","","","","","","",
"2021/05/06 20:11'00","44322.8409722222","  15.2000","","","","","","","",
"2021/05/06 20:12'00","44322.8416666667","  15.5000","","","","","","","",
"2021/05/06 20:13'00","44322.8423611111","  15.8000","","","","","","","",
"2021/05/06 20:14'00","44322.8430555556","  16.3000","","","","","","","",
"2021/05/06 20:15'00","44322.8437500000","  16.7000","","","","","","","",
"2021/05/06 20:16'00","44322.8444444444","  17.0000","","","","","","","",
"2021/05/06 20:17'00","44322.8451388889","  17.3000","","","","","","","",
"2021/05/06 20:18'00","44322.8458333333","  17.6000","","","","","","","",
"2021/05/06 20:19'00","44322.8465277778","  17.7000","","","","","","","",
"2021/05/06 20:20'00","44322.8472222222","  17.9000","","","","","","","",
"2021/05/06 20:21'00","44322.8479166667","  18.2000","","","","","","","",
"2021/05/06 20:22'00","44322.8486111111","  18.3000","","","","","","","",
"2021/05/06 20:23'00","44322.8493055556","  18.4000","","","","","","","",
"2021/05/06 20:24'00","44322.8500000000","  18.5000","","","","","","","",
"2021/05/06 20:25'00","44322.8506944444","  18.5000","","","","","","","",
"2021/05/06 20:26'00","44322.8513888889","  18.7000","","","","","","","",
"2021/05/06 20:27'00","44322.8520833333","  18.7000","","","","","","","",
"2021/05/06 20:28'00","44322.8527777778","  18.7000","","","","","","","",
"2021/05/06 20:29'00","44322.8534722222","  18.9000","","","","","","","",
"2021/05/06 20:30'00","44322.8541666667","  18.8000","","","","","","","",
"2021/05/06 20:31'00","44322.8548611111","  18.8000","","","","","","","",
"2021/05/06 20:32'00","44322.8555555556","  19.0000","","","","","","","",
"2021/05/06 20:33'00","44322.8562500000","  19.0000","","","","","","","",
"2021/05/06 20:34'00","44322.8569444444","  19.0000","","","","","","","",
"2021/05/06 20:35'00","44322.8576388889","  19.1000","","","","","","","",
"2021/05/06 20:36'00","44322.8583333333","  19.1000","","","","","","","",
"2021/05/06 20:37'00","44322.8590277778","  19.1000","","","","","","","",
"2021/05/06 20:38'00","44322.8597222222","  19.3000","","","","","","","",
"2021/05/06 20:39'00","44322.8604166667","  19.5000","","","","","","","",
"2021/05/06 20:40'00","44322.8611111111","  19.6000","","","","","","","",
"2021/05/06 20:41'00","44322.8618055556","  19.6000","","","","","","","",
"2021/05/06 20:42'00","44322.8625000000","  19.7000","","","","","","","",
"2021/05/06 20:43'00","44322.8631944444","  19.9000","","","","","","","",
"2021/05/06 20:44'00","44322.8638888889","  20.1000","","","","","","","",
"2021/05/06 20:45'00","44322.8645833333","  20.4000","","","","","","","",
"2021/05/06 20:46'00","44322.8652777778","  20.7000","","","","","","","",
"2021/05/06 20:47'00","44322.8659722222","  21.3000","","","","","","","",
"2021/05/06 20:48'00","44322.8666666667","  21.9000","","","","","","","",
"2021/05/06 20:49'00","44322.8673611111","  22.5000","","","","","","","",
"2021/05/06 20:50'00","44322.8680555556","  23.1000","","","","","","","",
"2021/05/06 20:51'00","44322.8687500000","  23.4000","","","","","","","",
"2021/05/06 20:52'00","44322.8694444444","  23.5000","","","","","","","",
"2021/05/06 20:53'00","44322.8701388889","  23.6000","","","","","","","",
"2021/05/06 20:54'00","44322.8708333333","  23.6000","","","","","","","",
"2021/05/06 20:55'00","44322.8715277778","  23.6000","","","","","","","",
"2021/05/06 20:56'00","44322.8722222222","  23.4000","","","","","","","",
"2021/05/06 20:57'00","44322.8729166667","  23.0000","","","","","","","",
"2021/05/06 20:58'00","44322.8736111111","  22.6000","","","","","","","",
"2021/05/06 20:59'00","44322.8743055556","  22.0000","","","","","","","",
"2021/05/06 21:00'00","44322.8750000000","  21.4000","","","","","","","",
"2021/05/06 21:01'00","44322.8756944444","  20.8000","","","","","","","",
"2021/05/06 21:02'00","44322.8763888889","  20.4000","","","","","","","",
"2021/05/06 21:03'00","44322.8770833333","  19.9000","","","","","","","",
"2021/05/06 21:04'00","44322.8777777778","  19.6000","","","","","","","",
"2021/05/06 21:05'00","44322.8784722222","  19.2000","","","","","","","",
"2021/05/06 21:06'00","44322.8791666667","  18.9000","","","","","","","",
"2021/05/06 21:07'00","44322.8798611111","  18.6000","","","","","","","",
"2021/05/06 21:08'00","44322.8805555556","  18.4000","","","","","","","",
"2021/05/06 21:09'00","44322.8812500000","  18.2000","","","","","","","",
"2021/05/06 21:10'00","44322.8819444444","  17.9000","","","","","","","",
"2021/05/06 21:11'00","44322.8826388889","  17.8000","","","","","","","",
"2021/05/06 21:12'00","44322.8833333333","  17.6000","","","","","","","",
"2021/05/06 21:13'00","44322.8840277778","  17.5000","","","","","","","",
"2021/05/06 21:14'00","44322.8847222222","  17.2000","","","","","","","",
"2021/05/06 21:15'00","44322.8854166667","  17.1000","","","","","","","",
"2021/05/06 21:16'00","44322.8861111111","  16.8000","","","","","","","",
"2021/05/06 21:17'00","44322.8868055556","  16.7000","","","","","","","",
"2021/05/06 21:18'00","44322.8875000000","  16.4000","","","","","","","",
"2021/05/06 21:19'00","44322.8881944444","  16.2000","","","","","","","",
"2021/05/06 21:20'00","44322.8888888889","  15.9000","","","","","","","",
"2021/05/06 21:21'00","44322.8895833333","  15.7000","","","","","","","",
"2021/05/06 21:22'00","44322.8902777778","  15.5000","","","","","","","",
"2021/05/06 21:23'00","44322.8909722222","  15.3000","","","","","","","",
"2021/05/06 21:24'00","44322.8916666667","  15.2000","","","","","","","",
"2021/05/06 21:25'00","44322.8923611111","  15.0000","","","","","","","",
"2021/05/06 21:26'00","44322.8930555556","  14.9000","","","","","","","",
"2021/05/06 21:27'00","44322.8937500000","  14.9000","","","","","","","",
"2021/05/06 21:28'00","44322.8944444444","  15.0000","","","","","","","",
"2021/05/06 21:29'00","44322.8951388889","  15.2000","","","","","","","",
"2021/05/06 21:30'00","44322.8958333333","  15.3000","","","","","","","",
"2021/05/06 21:31'00","44322.8965277778","  15.5000","","","","","","","",
"2021/05/06 21:32'00","44322.8972222222","  15.7000","","","","","","","",
"2021/05/06 21:33'00","44322.8979166667","  15.9000","","","","","","","",
"2021/05/06 21:34'00","44322.8986111111","  16.2000","","","","","","","",
"2021/05/06 21:35'00","44322.8993055556","  16.4000","","","","","","","",
"2021/05/06 21:36'00","44322.9000000000","  16.7000","","","","","","","",
"2021/05/06 21:37'00","44322.9006944444","  16.9000","","","","","","","",
"2021/05/06 21:38'00","44322.9013888889","  17.0000","","","","","","","",
"2021/05/06 21:39'00","44322.9020833333","  17.2000","","","","","","","",
"2021/05/06 21:40'00","44322.9027777778","  17.3000","","","","","","","",
"2021/05/06 21:41'00","44322.9034722222","  17.4000","","","","","","","",
"2021/05/06 21:42'00","44322.9041666667","  17.4000","","","","","","","",
"2021/05/06 21:43'00","44322.9048611111","  17.5000","","","","","","","",
"2021/05/06 21:44'00","44322.9055555556","  17.4000","","","","","","","",
"2021/05/06 21:45'00","44322.9062500000","  17.4000","","","","","","","",
"2021/05/06 21:46'00","44322.9069444444","  17.3000","","","","","","","",
"2021/05/06 21:47'00","44322.9076388889","  17.3000","","","","","","","",
"2021/05/06 21:48'00","44322.9083333333","  17.2000","","","","","","","",
"2021/05/06 21:49'00","44322.9090277778","  17.0000","","","","","","","",
"2021/05/06 21:50'00","44322.9097222222","  16.9000","","","","","","","",
"2021/05/06 21:51'00","44322.9104166667","  16.5000","","","","","","","",
"2021/05/06 21:52'00","44322.9111111111","  15.9000","","","","","","","",
"2021/05/06 21:53'00","44322.9118055556","  15.7000","","","","","","","",
"2021/05/06 21:54'00","44322.9125000000","  15.4000","","","","","","","",
"2021/05/06 21:55'00","44322.9131944444","  15.3000","","","","","","","",
"2021/05/06 21:56'00","44322.9138888889","  15.1000","","","","","","","",
"2021/05/06 21:57'00","44322.9145833333","  15.0000","","","","","","","",
"2021/05/06 21:58'00","44322.9152777778","  14.9000","","","","","","","",
"2021/05/06 21:59'00","44322.9159722222","  14.8000","","","","","","","",
"2021/05/06 22:00'00","44322.9166666667","  14.8000","","","","","","","",
"2021/05/06 22:01'00","44322.9173611111","  14.7000","","","","","","","",
"2021/05/06 22:02'00","44322.9180555556","  14.8000","","","","","","","",
"2021/05/06 22:03'00","44322.9187500000","  14.9000","","","","","","","",
"2021/05/06 22:04'00","44322.9194444444","  15.2000","","","","","","","",
"2021/05/06 22:05'00","44322.9201388889","  15.4000","","","","","","","",
"2021/05/06 22:06'00","44322.9208333333","  15.6000","","","","","","","",
"2021/05/06 22:07'00","44322.9215277778","  15.9000","","","","","","","",
"2021/05/06 22:08'00","44322.9222222222","  16.1000","","","","","","","",
"2021/05/06 22:09'00","44322.9229166667","  16.4000","","","","","","","",
"2021/05/06 22:10'00","44322.9236111111","  16.8000","","","","","","","",
"2021/05/06 22:11'00","44322.9243055556","  16.9000","","","","","","","",
"2021/05/06 22:12'00","44322.9250000000","  17.2000","","","","","","","",
"2021/05/06 22:13'00","44322.9256944444","  17.3000","","","","","","","",
"2021/05/06 22:14'00","44322.9263888889","  17.4000","","","","","","","",
"2021/05/06 22:15'00","44322.9270833333","  17.6000","","","","","","","",
"2021/05/06 22:16'00","44322.9277777778","  17.6000","","","","","","","",
"2021/05/06 22:17'00","44322.9284722222","  17.7000","","","","","","","",
"2021/05/06 22:18'00","44322.9291666667","  17.7000","","","","","","","",
"2021/05/06 22:19'00","44322.9298611111","  17.7000","","","","","","","",
"2021/05/06 22:20'00","44322.9305555556","  17.7000","","","","","","","",
"2021/05/06 22:21'00","44322.9312500000","  17.6000","","","","","","","",
"2021/05/06 22:22'00","44322.9319444444","  17.6000","","","","","","","",
"2021/05/06 22:23'00","44322.9326388889","  17.4000","","","","","","","",
"2021/05/06 22:24'00","44322.9333333333","  17.3000","","","","","","","",
"2021/05/06 22:25'00","44322.9340277778","  17.1000","","","","","","","",
"2021/05/06 22:26'00","44322.9347222222","  17.0000","","","","","","","",
"2021/05/06 22:27'00","44322.9354166667","  16.7000","","","","","","","",
"2021/05/06 22:28'00","44322.9361111111","  16.5000","","","","","","","",
"2021/05/06 22:29'00","44322.9368055556","  16.1000","","","","","","","",
"2021/05/06 22:30'00","44322.9375000000","  15.8000","","","","","","","",
"2021/05/06 22:31'00","44322.9381944444","  15.6000","","","","","","","",
"2021/05/06 22:32'00","44322.9388888889","  15.3000","","","","","","","",
"2021/05/06 22:33'00","44322.9395833333","  15.1000","","","","","","","",
"2021/05/06 22:34'00","44322.9402777778","  14.8000","","","","","","","",
"2021/05/06 22:35'00","44322.9409722222","  14.6000","","","","","","","",
"2021/05/06 22:36'00","44322.9416666667","  14.5000","","","","","","","",
"2021/05/06 22:37'00","44322.9423611111","  14.5000","","","","","","","",
"2021/05/06 22:38'00","44322.9430555556","  14.6000","","","","","","","",
"2021/05/06 22:39'00","44322.9437500000","  14.8000","","","","","","","",
"2021/05/06 22:40'00","44322.9444444444","  15.1000","","","","","","","",
