"time","x","y","z"
37.59,-11.7779115843341,-7.68770294780263,35.2801272530238
37.69,-6.69909674691138,-2.02792812593842,30.507963103859
37.79,-3.6101781619868,-2.06436642197239,24.1274292299572
37.89,-3.22739847761973,-3.84835945913388,19.2974782398523
37.99,-4.76479255005068,-7.28091313359704,16.6737921583872
38.09,-8.42367875841587,-13.1811611213467,18.7340298865676
38.19,-13.0624586456942,-16.1469857437809,29.4695035318604
38.29,-11.9070359839729,-6.71037353766216,36.3741449647821
38.39,-5.99112904792407,-0.908730842882165,30.330727077231
38.49,-2.73942264994184,-1.13702361695649,23.5141908234577
38.59,-2.22778547070397,-2.60326428151639,18.3788161821515
38.69,-3.36013567759012,-5.3131193951572,15.0100791176577
38.79,-6.44754166215855,-10.8588789546625,14.9321360845182
38.89,-11.993285289486,-17.8256443939019,23.6873113650696
38.99,-14.2374138225148,-11.1174537589535,37.6111994473212
39.09,-7.67402501574745,-0.321542359279568,33.7509346690406
39.19,-2.41050314792036,0.69312948216548,25.6401853729397
39.29,-0.713947615045029,-0.0108677609001412,19.5930831052213
39.39,-0.467631194865691,-0.543507092909167,15.0194709710484
39.49,-0.771992580844163,-1.32349400783174,11.5521674114751
39.59,-1.72123796236871,-3.20965003860913,9.0870068471452
39.69,-4.22797783961105,-8.11285661241135,8.39031600599458
39.79,-10.2607347582866,-18.4862931683212,14.9708273792918
39.89,-17.0343412189231,-18.1015616807733,38.0005042387988
39.99,-9.67685199726028,1.90371597221469,38.6347547428988
40.09,-0.860211383455151,4.61815315277114,28.0941122260064
40.19,2.54373922895084,4.6947868925872,21.9904317655388
40.29,4.61975956931358,7.00200857746865,18.6773882079144
40.39,7.77723002053538,11.768199359322,19.4351329094904
40.49,11.9108651213131,15.2440013750242,27.35496295196
40.59,12.1446435227909,8.8843389815465,34.992739013509
40.69,7.35187493217541,2.49418461915002,31.2651172445303
40.79,3.95816711500437,2.10752204023695,24.8874497025741
40.89,3.34015246117499,3.78318977204435,19.9260334859462
40.99,4.71083266275002,7.04788853328305,17.1135775189932
41.09,8.15488574501249,12.6796743173654,18.7010638598951
