,Taxa,w_in_sp_opt,w_in_st_opt,w_bc_sp_opt,w_bc_st_opt,train_pred,test_pred,RMSE_train,RMSE_test,NMSE_train,NMSE_test
310,Prok_Taxa00416,0.0,1.5,0.0,0.8,0.9866,0.6724,0.0407,0.1881,0.0043077,0.091137
311,Prok_Taxa00417,0.4,2.0,0.8,1.0,0.8403,0.1595,0.1397,0.2485,0.0507384,0.1590918
312,Prok_Taxa00418,0.6,0.5,0.4,0.8,0.986,0.8434,0.0416,0.1354,0.0044991,0.0472488
313,Prok_Taxa00419,0.9,0.5,0.8,0.8,0.9893,0.7473,0.0364,0.1796,0.0034476,0.0831301
314,Prok_Taxa00421,0.6,1.5,0.6,0.5,0.9325,0.0893,0.09,0.2497,0.0210941,0.160645
315,Prok_Taxa00422,0.8,0.8,0.4,0.5,0.9914,0.8284,0.0326,0.1407,0.0027622,0.0510223
316,Prok_Taxa00423,0.6,1.5,0.4,1.5,0.9525,0.0881,0.076,0.251,0.0150159,0.1623414
317,Prok_Taxa00424,0.8,0.5,0.8,0.5,0.9391,0.0929,0.1473,0.2499,0.0564258,0.160885
318,Prok_Taxa00425,0.8,1.0,0.9,0.5,0.9861,0.8657,0.0416,0.1262,0.0044945,0.0410201
319,Prok_Taxa00426,0.4,0.5,0.9,1.0,0.9883,0.8483,0.038,0.135,0.0037508,0.0469925
320,Prok_Taxa00427,0.0,2.0,0.8,1.5,0.9853,0.7957,0.0427,0.1524,0.0047439,0.059879
321,Prok_Taxa00430,0.8,0.8,0.9,0.5,0.9785,0.7366,0.0515,0.1756,0.0068897,0.0794743
322,Prok_Taxa00433,0.9,0.8,0.4,0.5,0.9892,0.8856,0.0366,0.1197,0.0034921,0.0369104
323,Prok_Taxa00434,0.0,2.0,0.0,1.0,0.979,0.5508,0.0508,0.2181,0.0067109,0.1226369
324,Prok_Taxa00435,0.0,1.0,0.8,0.8,0.934,0.0838,0.1182,0.2498,0.0363243,0.1607501
325,Prok_Taxa00436,0.2,2.0,0.8,1.0,0.9726,0.8158,0.058,0.1505,0.0087435,0.05834
326,Prok_Taxa00437,0.8,0.8,0.8,0.8,0.9885,0.8593,0.0378,0.1318,0.0037134,0.0447908
327,Prok_Taxa00438,0.6,0.5,0.6,0.5,0.9546,0.0747,0.0743,0.25,0.0143576,0.1610801
328,Prok_Taxa00440,0.6,1.5,0.0,0.5,0.9023,0.1275,0.1076,0.249,0.0300941,0.159787
329,Prok_Taxa00441,0.8,0.8,0.0,0.5,0.9788,0.8078,0.051,0.1514,0.0067776,0.0590675
330,Prok_Taxa00443,0.4,2.0,0.0,1.5,0.9878,0.8533,0.0388,0.1352,0.0039214,0.0470992
331,Prok_Taxa00445,0.0,2.0,0.0,1.5,0.9843,0.8475,0.0441,0.1344,0.0050482,0.0465786
332,Prok_Taxa00447,0.6,1.5,0.6,1.0,0.9407,0.2224,0.0846,0.246,0.0186145,0.1559642
333,Prok_Taxa00448,0.6,2.0,0.6,0.5,0.9289,0.0559,0.0924,0.2536,0.0221954,0.1657184
334,Prok_Taxa00449,0.8,0.5,0.2,2.0,0.9855,0.8818,0.0423,0.119,0.0046556,0.036468
335,Prok_Taxa00450,0.9,0.5,0.6,0.5,0.9866,0.7741,0.0407,0.1605,0.0043185,0.0663984
336,Prok_Taxa00451,0.2,1.5,0.6,1.5,0.9673,0.8136,0.0633,0.1511,0.0104149,0.0588707
337,Prok_Taxa00452,0.2,1.5,0.6,0.5,0.977,0.1895,0.0537,0.2468,0.0074894,0.1570274
338,Prok_Taxa00454,0.0,2.0,0.6,0.5,0.9868,0.7885,0.0405,0.1569,0.0042653,0.0634005
339,Prok_Taxa00456,0.8,2.0,0.6,1.0,0.9849,0.825,0.0433,0.1424,0.0048668,0.0522499
340,Prok_Taxa00457,0.4,0.8,0.8,0.5,0.9826,0.779,0.0463,0.1667,0.005587,0.0716292
341,Prok_Taxa00460,0.6,0.5,0.6,1.0,0.96,0.8642,0.0699,0.133,0.0126957,0.0455954
342,Prok_Taxa00462,0.6,1.0,0.6,0.5,0.9867,0.8433,0.0406,0.1378,0.0042792,0.0489102
343,Prok_Taxa00463,0.0,2.0,0.2,1.0,0.9915,0.8474,0.0324,0.1343,0.0027268,0.0464976
344,Prok_Taxa00465,0.0,1.5,0.0,0.5,0.9733,0.75,0.0573,0.1693,0.0085393,0.0738935
345,Prok_Taxa00466,0.2,0.5,0.6,0.8,0.9741,0.8656,0.0564,0.126,0.0082823,0.0409204
