"< Measurement Data Text Output >"
""
"Date/Time","@date()","ch.1","ch.2","ch.3","ch.4","ch.5","ch.6","ch.7","ch.8"
"","","ßC","","","","","","",""
"2021/04/12 22:23'16","44298.9328240741","  25.1000","","","","","","","",
"2021/04/12 22:24'16","44298.9335185185","  25.0000","","","","","","","",
"2021/04/12 22:25'16","44298.9342129630","  24.9000","","","","","","","",
"2021/04/12 22:26'16","44298.9349074074","  24.9000","","","","","","","",
"2021/04/12 22:27'16","44298.9356018519","  24.9000","","","","","","","",
"2021/04/12 22:28'16","44298.9362962963","  24.8000","","","","","","","",
"2021/04/12 22:29'16","44298.9369907407","  24.8000","","","","","","","",
"2021/04/12 22:30'16","44298.9376851852","  25.0000","","","","","","","",
"2021/04/12 22:31'16","44298.9383796296","  25.3000","","","","","","","",
"2021/04/12 22:32'16","44298.9390740741","  25.5000","","","","","","","",
"2021/04/12 22:33'16","44298.9397685185","  25.5000","","","","","","","",
"2021/04/12 22:34'16","44298.9404629630","  25.6000","","","","","","","",
"2021/04/12 22:35'16","44298.9411574074","  25.6000","","","","","","","",
"2021/04/12 22:36'16","44298.9418518519","  25.3000","","","","","","","",
"2021/04/12 22:37'16","44298.9425462963","  25.2000","","","","","","","",
"2021/04/12 22:38'16","44298.9432407407","  25.1000","","","","","","","",
"2021/04/12 22:39'16","44298.9439351852","  25.1000","","","","","","","",
"2021/04/12 22:40'16","44298.9446296296","  25.0000","","","","","","","",
"2021/04/12 22:41'16","44298.9453240741","  24.9000","","","","","","","",
"2021/04/12 22:42'16","44298.9460185185","  24.8000","","","","","","","",
"2021/04/12 22:43'16","44298.9467129630","  25.3000","","","","","","","",
