,network_name,train_pred,test_pred,RMSE_train,RMSE_test,NMSE_train,NMSE_test,total_nodes,learning_time,n_network,E,NMSE_test,num_nodes,Win_strength,Win_sparsity,n_neighbors
125,Combined_Network,0.9892,0.9891,0.0338,0.0333,0.003559,0.0036008,600,0.03,126,600,0.0404673,4,1.3,0.3,5
126,Combined_Network,0.9892,0.9891,0.0338,0.0333,0.0035586,0.0036003,603,0.03,127,603,0.0404673,4,1.3,0.3,5
127,Combined_Network,0.9892,0.9891,0.0338,0.0333,0.0035585,0.0036003,605,0.04,128,605,0.0404673,4,1.3,0.3,5
128,Combined_Network,0.9893,0.9892,0.0337,0.0333,0.0035425,0.0035947,613,0.03,129,613,0.0404673,4,1.3,0.3,5
129,Combined_Network,0.9893,0.9892,0.0336,0.0333,0.0035284,0.0035946,624,0.03,130,624,0.0404673,4,1.3,0.3,5
130,Combined_Network,0.9893,0.9892,0.0336,0.0333,0.0035281,0.0035923,626,0.03,131,626,0.0404673,4,1.3,0.3,5
131,Combined_Network,0.9893,0.9892,0.0336,0.0332,0.0035256,0.0035873,629,0.03,132,629,0.0404673,4,1.3,0.3,5
132,Combined_Network,0.9894,0.9892,0.0335,0.0333,0.0034986,0.0035878,635,0.04,133,635,0.0404673,4,1.3,0.3,5
133,Combined_Network,0.9894,0.9892,0.0334,0.0333,0.0034901,0.0035951,640,0.06,134,640,0.0404673,4,1.3,0.3,5
134,Combined_Network,0.9894,0.9892,0.0334,0.0333,0.0034859,0.0035891,646,0.03,135,646,0.0404673,4,1.3,0.3,5
135,Combined_Network,0.9894,0.9892,0.0334,0.0333,0.0034861,0.0035896,648,0.03,136,648,0.0404673,4,1.3,0.3,5
136,Combined_Network,0.9895,0.9892,0.0333,0.0332,0.0034656,0.0035836,653,0.04,137,653,0.0404673,4,1.3,0.3,5
137,Combined_Network,0.9895,0.9892,0.0333,0.0332,0.0034653,0.0035834,655,0.05,138,655,0.0404673,4,1.3,0.3,5
138,Combined_Network,0.9895,0.9892,0.0333,0.0332,0.0034602,0.0035794,667,0.05,139,667,0.0404673,4,1.3,0.3,5
139,Combined_Network,0.9897,0.9894,0.033,0.0329,0.0033977,0.0035089,672,0.03,140,672,0.0404673,4,1.3,0.3,5
140,Combined_Network,0.9897,0.9894,0.033,0.0329,0.0033955,0.0035087,675,0.04,141,675,0.0404673,4,1.3,0.3,5
141,Combined_Network,0.9898,0.9895,0.0329,0.0328,0.0033751,0.0034838,686,0.04,142,686,0.0404673,4,1.3,0.3,5
142,Combined_Network,0.9898,0.9896,0.0329,0.0327,0.0033708,0.0034634,690,0.04,143,690,0.0404673,4,1.3,0.3,5
143,Combined_Network,0.9899,0.9896,0.0327,0.0326,0.0033436,0.0034381,695,0.04,144,695,0.0404673,4,1.3,0.3,5
144,Combined_Network,0.9899,0.9897,0.0327,0.0325,0.0033342,0.0034306,699,0.04,145,699,0.0404673,4,1.3,0.3,5
145,Combined_Network,0.9899,0.9897,0.0326,0.0325,0.0033244,0.0034207,704,0.04,146,704,0.0404673,4,1.3,0.3,5
146,Combined_Network,0.9899,0.9897,0.0326,0.0325,0.003321,0.0034179,708,0.04,147,708,0.0404673,4,1.3,0.3,5
147,Combined_Network,0.99,0.9898,0.0326,0.0324,0.0033063,0.0033999,711,0.05,148,711,0.0404673,4,1.3,0.3,5
148,Combined_Network,0.9901,0.9899,0.0324,0.0322,0.0032832,0.0033571,713,0.04,149,713,0.0404673,4,1.3,0.3,5
